Id,Year,Cumulative
370,11/1980,
371,12/1980,
372,1/1981,
373,2/1981,
374,3/1981,
375,4/1981,
376,5/1981,
377,6/1981,
378,7/1981,
379,8/1981,
380,9/1981,
381,10/1981,
382,11/1981,
383,12/1981,
384,1/1982,
385,2/1982,
386,3/1982,
387,4/1982,
388,5/1982,
389,6/1982,
390,7/1982,
391,8/1982,
392,9/1982,
393,10/1982,
394,11/1982,
395,12/1982,
396,1/1983,
397,2/1983,
398,3/1983,
399,4/1983,
400,5/1983,
401,6/1983,
402,7/1983,
403,8/1983,
404,9/1983,
405,10/1983,
406,11/1983,
407,12/1983,
408,1/1984,
409,2/1984,
410,3/1984,
411,4/1984,
412,5/1984,
413,6/1984,
414,7/1984,
415,8/1984,
416,9/1984,
417,10/1984,
418,11/1984,
419,12/1984,
420,1/1985,
421,2/1985,
422,3/1985,
423,4/1985,
424,5/1985,
425,6/1985,
426,7/1985,
427,8/1985,
428,9/1985,
429,10/1985,
430,11/1985,
431,12/1985,
432,1/1986,
433,2/1986,
434,3/1986,
435,4/1986,
436,5/1986,
437,6/1986,
438,7/1986,
439,8/1986,
440,9/1986,
441,10/1986,
442,11/1986,
443,12/1986,
444,1/1987,
445,2/1987,
446,3/1987,
447,4/1987,
448,5/1987,
449,6/1987,
450,7/1987,
451,8/1987,
452,9/1987,
453,10/1987,
454,11/1987,
455,12/1987,
456,1/1988,
457,2/1988,
458,3/1988,
459,4/1988,
460,5/1988,
461,6/1988,
462,7/1988,
463,8/1988,
464,9/1988,
465,10/1988,
466,11/1988,
467,12/1988,
468,1/1989,
469,2/1989,
470,3/1989,
471,4/1989,
472,5/1989,
473,6/1989,
474,7/1989,
475,8/1989,
476,9/1989,
477,10/1989,
478,11/1989,
479,12/1989,
480,1/1990,
481,2/1990,
482,3/1990,
483,4/1990,
484,5/1990,
485,6/1990,
486,7/1990,
487,8/1990,
488,9/1990,
489,10/1990,
490,11/1990,
491,12/1990,
492,1/1991,
493,2/1991,
494,3/1991,
495,4/1991,
496,5/1991,
497,6/1991,
498,7/1991,
499,8/1991,
500,9/1991,
501,10/1991,
502,11/1991,
503,12/1991,
504,1/1992,
505,2/1992,
506,3/1992,
507,4/1992,
508,5/1992,
509,6/1992,
510,7/1992,
511,8/1992,
512,9/1992,
513,10/1992,
514,11/1992,
515,12/1992,
516,1/1993,
517,2/1993,
518,3/1993,
519,4/1993,
520,5/1993,
521,6/1993,
522,7/1993,
523,8/1993,
524,9/1993,
525,10/1993,
526,11/1993,
527,12/1993,
528,1/1994,
529,2/1994,
530,3/1994,
531,4/1994,
532,5/1994,
533,6/1994,
534,7/1994,
535,8/1994,
536,9/1994,
537,10/1994,
538,11/1994,
539,12/1994,
540,1/1995,
541,2/1995,
542,3/1995,
543,4/1995,
544,5/1995,
545,6/1995,
546,7/1995,
547,8/1995,
548,9/1995,
549,10/1995,
550,11/1995,
551,12/1995,
552,1/1996,
553,2/1996,
554,3/1996,
555,4/1996,
556,5/1996,
557,6/1996,
558,7/1996,
559,8/1996,
560,9/1996,
561,10/1996,
562,11/1996,
563,12/1996,
