Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 World,Austria,Import,Plastic or Rubber,Import (US$ Thousand),880135.37,1009122.788,1230521.019,1396509.113,1775233.665,1755120.146,2499101.294,2670193.344,2712289.423,2663493.002,2740122.431,2705462.602,2662995.847,2878454.26,3085313.17,3625669.361,4452592.623,4930222.966,5797650.541,7110784.922,7911646.004,6261497.003,7246506.87377606,8702717.40178288,8080028.24691041,8497757.84684295,8649876.00772812,7455819.42104131,7299663.54573291,8217064.99646164
 World,Azerbaijan,Import,Plastic or Rubber,Import (US$ Thousand),,,,,305.2,279.597,1056.425,3087.72,12682.233,22425.406,13367.223,13620.859,15667.051,13145.24,15754.922,28931.343,51730.947,59842.326,85850.037,54248.702,92983.09,20640.07,63660.7681647952,104031.27291489,100272.136459875,108936.00963568,142966.42463024,132599.763,135773.446675209,122946.125353665
 World,"Bahamas, The",Import,Plastic or Rubber,Import (US$ Thousand),,34.953,135.211,9.91,90.636,102.977,752.057,470.108,1065.715,681.578,25801.697,42928.491,59463.136,75213.796,71551.086,92057.809,99861.225,126649.057,144986.548,156734.58,161007.024,111005.182,113224.500350202,141964.368726182,150170.585,163042.815031374,180839.922118179,106419.084555136,84027.9892409451,98222.2541009297
 World,Bahrain,Import,Plastic or Rubber,Import (US$ Thousand),42.455,1752.587,1511.622,5744.071,10625.364,15969.323,25503.776,26870.931,28303.237,10426.387,21600.075,27989.874,26043.689,29193.056,32163.945,30678.585,47909.777,60438.493,64949.522,101489.178,98042.159,81757.399,100654.052576187,96313.2583897268,118656.660159613,169278.588536926,173625.764794619,256907.349547723,218427.51966427,100385.093039
 World,Bangladesh,Import,Plastic or Rubber,Import (US$ Thousand),2.3,123.843,47.772,891.668,321.32,1376.938,2029.374,3075.067,4240.357,7752.549,9582.531,12169.29,12045.843,12130.732,15886.598,23771.678,30175.935,37303.983,37385.142,47041.174,60269.263,45276.649,61029.9858886138,101334.209832767,97980.8570387662,92499.9825817459,115356.356744367,106607.660803099,92164.7750995353,100707.693449629
 World,Barbados,Import,Plastic or Rubber,Import (US$ Thousand),6,2.027,4.426,1553.144,898.83,1390.187,1671.121,3089.579,2525.12,2253.439,2313.073,2397.109,4362.825,3094.777,3493.734,3651.493,4578.631,9972.708,14772.828,19075.01,37331.496,36978.577,113355.252337772,20341.1212201533,17260.0940826142,4464.28703065943,4247.6058685536,3516.6684913371,4309.78900945205,2950.26635009597
 World,Belarus,Import,Plastic or Rubber,Import (US$ Thousand),,,,,1697.297,6706.215,40077.478,76444.879,102910.16,92062.426,89662.938,63954.342,60257.598,56941.9,60445.813,98574.895,141427.473,188669.537,399522.634,419539.51,491175.8,319946.665,342830.637661726,446722.44503321,1340467.55509018,1484740.12477148,1347202.67386478,996129.552496782,1112572.85211164,1175547.31032207
 World,Belgium,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,11376454.605,11613959.597,11471265.784,12344610.056,14643034.147,18096524.74,21542058.712,24305670.257,28749180.391,29817933.679,22675009.273,27159923.2303963,32199657.9517483,29678258.0095953,30532982.0586605,30982007.5925382,26822891.4483043,26376585.1424604,28750635.3225921
 World,Belgium-Luxembourg,Import,Plastic or Rubber,Import (US$ Thousand),2107585.983,2632464.826,3289701.589,3605661.907,5834361.735,5522044.864,9828585.3,12656719.421,12248138.423,11978573.519,12118925.411,,,,,,,,,,,,,,,,,,,
 World,Belize,Import,Plastic or Rubber,Import (US$ Thousand),164.367,998.051,711.172,382.253,760.301,928.351,468.219,517.995,384.478,663.129,2649.834,606.316,557.592,1316.061,1072.554,1798.258,816.017,1028.331,4852.999,16369.946,105787.544,114891.916,2120.08115849,17369.8050124838,2777.17843287904,8437.34026668446,2323.92815897492,1899.96666686851,1862.68152300581,1366.31745188241
 World,Benin,Import,Plastic or Rubber,Import (US$ Thousand),,,109.103,68.134,,8.002,103.046,92.147,170.119,572.52,531.111,112.948,137.565,151.344,132.459,360.992,251.169,585.001,180.599,666.782,365.045,298.725,500.38809672352,1908.926,850.017,1539.477,838.168,724.81888810546,2246.32261938246,1572.68967547859
 World,Bermuda,Import,Plastic or Rubber,Import (US$ Thousand),2.506,24.998,2.703,6.432,19.648,150.297,79.073,426.163,161.573,85.769,362.182,182.298,434.631,11930.282,3282.978,2651.447,1467.54,822.526,1382.111,2307.391,695.033,455.128,576.158,1128.554,253.62,10674.515,1270.712,1520.69626087,1853.36216002786,393.103700104065
 World,Bhutan,Import,Plastic or Rubber,Import (US$ Thousand),,5.188,,10.272,52.254,29.909,56.737,119.569,99.954,276.088,53.489,65.465,167.647,306.296,672.382,779.088,298.411,328.752,348.122,625.642,2826.416,3071.6,7155.318,6491.938,3392.9727484352,4757.165,6999.493,10460.2465020605,7967.11116330688,7124.76944278324
 World,Bolivia,Import,Plastic or Rubber,Import (US$ Thousand),1,5678.902,1361.059,422.187,256.924,177.651,211.633,773.31,414.041,1678.948,2121.927,1332.238,917.563,1839.038,2431.94,2285.129,2482.845,3927.396,5273.555,5945.666,5645.886,7520.232,43616.16348,71536.11458419,44096.59345401,9650.33721541817,9061.1437077501,4370.5069,3271.40207895674,2477.70559358917
 World,Bonaire,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,0.191,0.193,1.115,3.894,5.697,6.44275378,1.2107490136
